iter	Passed	Remaining
0	4	2989
1	9	2719
2	13	2595
3	17	2546
4	21	2528
5	25	2506
6	29	2479
7	33	2472
8	38	2505
9	42	2487
10	45	2459
11	50	2452
12	54	2444
13	58	2434
14	62	2425
15	66	2411
16	70	2407
17	74	2394
18	78	2411
19	83	2408
20	87	2406
21	91	2409
22	96	2414
23	100	2414
24	104	2403
25	108	2398
26	112	2392
27	116	2388
28	120	2381
29	125	2376
30	128	2366
31	132	2360
32	137	2367
33	141	2358
34	145	2350
35	149	2343
36	153	2337
37	157	2329
38	161	2324
39	165	2318
40	169	2314
41	173	2308
42	177	2301
43	181	2296
44	185	2290
45	189	2285
46	193	2279
47	197	2272
48	201	2267
49	205	2263
50	209	2257
51	213	2251
52	217	2248
53	222	2244
54	226	2242
55	230	2234
56	234	2231
57	238	2224
58	242	2220
59	246	2215
60	250	2213
61	254	2208
62	258	2202
63	262	2195
64	266	2190
65	270	2187
66	274	2182
67	278	2177
68	282	2171
69	286	2168
70	290	2163
71	294	2160
72	298	2154
73	302	2149
74	306	2145
75	310	2139
76	314	2135
77	319	2140
78	323	2136
79	328	2132
80	332	2128
81	336	2124
82	340	2119
83	344	2116
84	348	2111
85	352	2106
86	356	2101
87	360	2097
88	364	2093
89	368	2089
90	372	2084
91	376	2079
92	380	2074
93	384	2069
94	388	2065
95	392	2059
96	396	2054
97	400	2050
98	404	2045
99	408	2040
100	411	2035
101	415	2030
102	419	2025
103	423	2020
104	427	2017
105	431	2012
106	435	2008
107	439	2003
108	443	1999
109	448	1996
110	451	1990
111	455	1986
112	459	1981
113	463	1976
114	467	1971
115	471	1966
116	475	1961
117	479	1956
118	483	1953
119	487	1948
120	490	1943
121	495	1939
122	499	1935
123	503	1931
124	506	1926
125	510	1921
126	514	1916
127	519	1913
128	523	1910
129	527	1905
130	531	1901
131	534	1896
132	538	1891
133	542	1886
134	546	1883
135	550	1879
136	554	1874
137	558	1870
138	562	1865
139	566	1862
140	570	1857
141	574	1852
142	578	1848
143	582	1844
144	586	1839
145	590	1835
146	594	1831
147	598	1826
148	601	1821
149	605	1817
150	609	1813
151	613	1808
152	617	1804
153	621	1800
154	625	1795
155	629	1790
156	632	1785
157	636	1781
158	641	1778
159	644	1773
160	648	1768
161	652	1764
162	656	1759
163	660	1756
164	664	1751
165	668	1746
166	671	1741
167	675	1736
168	679	1732
169	682	1727
170	686	1723
171	690	1719
