iter	Passed	Remaining
0	8	4939
1	14	4414
2	20	4084
3	27	4026
4	32	3890
5	38	3779
6	43	3718
7	49	3691
8	56	3691
9	62	3696
10	68	3673
11	74	3658
12	81	3663
13	87	3660
14	93	3648
15	99	3646
16	106	3641
17	111	3616
18	118	3615
19	124	3598
20	130	3589
21	136	3575
22	142	3574
23	148	3557
24	154	3547
25	159	3529
26	165	3522
27	172	3515
28	177	3494
29	182	3471
30	188	3450
31	193	3433
32	198	3415
33	204	3408
34	210	3390
35	215	3370
36	220	3349
37	226	3343
38	230	3321
39	236	3310
40	241	3294
41	246	3280
42	252	3266
43	257	3249
44	262	3239
45	267	3226
46	272	3210
47	278	3199
48	283	3187
49	288	3175
50	294	3166
51	299	3152
52	304	3141
53	309	3131
54	314	3119
55	320	3109
56	325	3097
57	330	3085
58	335	3077
59	340	3067
60	345	3055
61	350	3045
62	355	3034
63	361	3024
64	366	3016
65	371	3004
66	376	2996
67	381	2987
68	387	2980
69	392	2974
70	397	2965
71	403	2955
72	408	2946
73	413	2936
74	418	2928
75	423	2920
76	428	2913
77	433	2903
78	438	2893
79	443	2885
80	449	2876
81	453	2867
82	459	2859
83	463	2849
84	468	2840
85	473	2832
86	478	2822
87	483	2814
88	488	2807
89	494	2800
90	499	2795
91	504	2786
92	510	2780
93	515	2772
94	520	2765
95	525	2758
96	531	2753
97	536	2746
98	541	2738
99	546	2733
100	551	2726
101	556	2718
102	561	2710
103	566	2703
104	571	2696
105	577	2690
106	582	2683
107	587	2676
108	592	2670
109	598	2664
110	603	2658
111	608	2651
112	613	2645
113	619	2639
114	624	2633
115	630	2630
116	635	2624
117	641	2619
118	646	2613
119	651	2606
120	657	2601
121	662	2596
122	667	2589
123	672	2582
124	678	2578
125	683	2571
126	688	2564
127	694	2560
128	699	2555
129	705	2549
130	710	2542
131	715	2536
132	720	2529
133	725	2523
134	730	2517
135	736	2511
136	741	2505
137	746	2498
138	751	2492
139	756	2486
140	761	2479
141	766	2473
142	771	2466
143	777	2460
144	782	2454
145	787	2448
146	793	2443
147	798	2437
148	803	2430
149	808	2424
150	813	2418
151	818	2412
152	823	2406
153	828	2399
154	833	2393
155	838	2386
156	843	2380
157	848	2374
158	853	2367
159	859	2362
160	864	2356
161	869	2350
162	874	2344
163	879	2339
164	885	2333
165	890	2328
166	896	2323
167	901	2317
168	906	2312
169	911	2306
170	917	2300
171	922	2294
172	926	2287
173	931	2281
174	936	2275
175	942	2271
176	948	2267
177	954	2263
178	960	2258
179	965	2253
180	970	2246
181	975	2240
182	980	2235
183	985	2229
184	991	2223
185	996	2217
186	1001	2212
187	1006	2206
188	1012	2201
189	1017	2195
190	1022	2188
191	1027	2183
192	1032	2176
193	1037	2171
194	1042	2165
195	1047	2159
196	1052	2153
197	1058	2148
198	1063	2142
199	1068	2136
200	1073	2131
201	1078	2124
202	1083	2119
203	1088	2113
204	1093	2106
205	1098	2100
206	1103	2095
207	1108	2089
208	1113	2083
209	1119	2078
210	1124	2073
211	1129	2067
212	1134	2061
213	1139	2056
214	1144	2050
215	1150	2044
216	1155	2038
217	1160	2033
218	1165	2027
219	1170	2021
220	1175	2015
221	1180	2010
222	1185	2004
223	1190	1998
224	1195	1993
225	1201	1988
226	1207	1983
227	1212	1978
228	1217	1972
229	1222	1966
230	1227	1960
231	1232	1954
232	1237	1949
233	1242	1943
234	1247	1938
235	1253	1933
236	1258	1927
237	1263	1922
238	1269	1916
239	1273	1910
240	1279	1905
241	1283	1899
242	1289	1893
243	1294	1888
244	1299	1882
245	1304	1877
246	1310	1872
247	1315	1867
248	1320	1862
249	1325	1856
250	1330	1850
251	1335	1844
252	1340	1838
253	1344	1832
254	1350	1826
255	1355	1821
256	1360	1816
257	1365	1810
258	1371	1805
259	1376	1800
260	1382	1795
261	1387	1790
262	1392	1784
263	1397	1778
264	1402	1772
265	1407	1767
266	1412	1762
267	1417	1756
268	1423	1751
269	1428	1745
270	1433	1739
271	1438	1734
272	1443	1729
273	1449	1724
274	1454	1718
275	1459	1713
276	1464	1707
277	1469	1702
278	1474	1696
279	1479	1690
280	1484	1685
281	1489	1680
282	1495	1674
283	1500	1669
284	1505	1664
285	1510	1658
286	1515	1652
287	1520	1647
288	1525	1641
289	1530	1635
290	1535	1630
291	1540	1624
292	1545	1619
293	1551	1614
294	1556	1609
295	1562	1604
296	1567	1599
297	1572	1593
298	1577	1588
299	1582	1582
300	1587	1577
301	1592	1571
302	1597	1566
303	1603	1560
304	1608	1555
305	1613	1549
306	1618	1544
307	1623	1539
308	1628	1533
309	1633	1527
310	1638	1522
311	1644	1517
312	1649	1512
313	1654	1506
314	1659	1501
315	1664	1495
316	1669	1490
317	1674	1484
318	1679	1479
319	1684	1473
320	1689	1468
321	1694	1462
322	1699	1457
323	1704	1451
324	1709	1446
325	1716	1442
326	1721	1437
327	1727	1432
328	1733	1427
329	1738	1422
330	1742	1416
331	1748	1411
332	1753	1406
333	1758	1400
334	1764	1395
335	1769	1389
336	1774	1384
337	1778	1378
338	1784	1373
339	1789	1368
340	1794	1362
341	1799	1357
342	1804	1351
343	1809	1346
344	1814	1340
345	1819	1335
346	1824	1330
347	1829	1324
348	1834	1319
349	1839	1313
350	1843	1307
351	1848	1302
352	1853	1296
353	1858	1291
354	1863	1286
355	1868	1280
356	1873	1274
357	1878	1269
358	1882	1263
359	1887	1258
360	1892	1253
361	1898	1247
362	1903	1242
363	1908	1237
364	1913	1232
365	1918	1226
366	1923	1221
367	1928	1216
368	1933	1210
369	1939	1205
370	1944	1200
371	1949	1194
372	1954	1189
373	1959	1183
374	1964	1178
375	1969	1173
376	1974	1167
377	1978	1162
378	1983	1156
379	1988	1151
380	1994	1146
381	1998	1140
382	2004	1135
383	2009	1130
384	2014	1125
385	2019	1119
386	2025	1114
387	2030	1109
388	2035	1104
389	2040	1098
390	2046	1093
391	2051	1088
392	2056	1082
393	2060	1077
394	2066	1072
395	2070	1066
396	2075	1061
397	2080	1056
398	2085	1050
399	2090	1045
400	2095	1040
401	2100	1034
402	2105	1029
403	2110	1024
404	2116	1018
405	2120	1013
406	2125	1007
407	2130	1002
408	2135	997
409	2140	992
410	2145	986
411	2150	981
412	2155	976
413	2160	970
414	2165	965
415	2170	959
416	2175	954
417	2181	949
418	2186	944
419	2191	939
420	2196	933
421	2202	928
422	2207	923
423	2212	918
424	2217	913
425	2222	907
426	2227	902
427	2232	897
428	2237	891
429	2242	886
430	2247	881
431	2252	875
432	2258	870
433	2263	865
434	2268	860
435	2273	854
436	2278	849
437	2283	844
438	2288	839
439	2293	833
440	2298	828
441	2303	823
442	2308	818
443	2313	812
444	2318	807
445	2322	802
446	2328	796
447	2332	791
448	2337	786
449	2342	780
450	2347	775
451	2352	770
452	2357	764
453	2362	759
454	2367	754
455	2372	749
456	2377	744
457	2383	738
458	2388	733
459	2393	728
460	2398	723
461	2403	717
462	2408	712
463	2413	707
464	2418	702
465	2423	696
466	2428	691
467	2433	686
468	2439	681
469	2445	676
470	2450	671
471	2455	665
472	2461	660
473	2465	655
474	2470	650
475	2475	644
476	2480	639
477	2486	634
478	2491	629
479	2496	624
480	2502	619
481	2507	613
482	2512	608
483	2517	603
484	2522	598
485	2527	592
486	2532	587
487	2537	582
488	2542	577
489	2547	571
490	2552	566
491	2557	561
492	2562	556
493	2567	550
494	2572	545
495	2577	540
496	2582	535
497	2587	530
498	2592	524
499	2597	519
500	2601	514
501	2606	508
502	2611	503
503	2616	498
504	2622	493
505	2627	488
506	2631	482
507	2636	477
508	2642	472
509	2647	467
510	2652	461
511	2657	456
512	2662	451
513	2667	446
514	2672	441
515	2677	435
516	2682	430
517	2687	425
518	2692	420
519	2697	414
520	2701	409
521	2706	404
522	2711	399
523	2716	393
524	2721	388
525	2726	383
526	2731	378
527	2736	373
528	2741	367
529	2746	362
530	2750	357
531	2755	352
532	2760	347
533	2765	341
534	2770	336
535	2775	331
536	2780	326
537	2785	320
538	2790	315
539	2796	310
540	2800	305
541	2805	300
542	2811	295
543	2815	289
544	2820	284
545	2825	279
546	2830	274
547	2835	269
548	2840	263
549	2845	258
550	2850	253
551	2855	248
552	2860	243
553	2864	237
554	2869	232
555	2875	227
556	2880	222
557	2885	217
558	2890	211
559	2895	206
560	2900	201
561	2905	196
562	2910	191
563	2915	186
564	2920	180
565	2925	175
566	2930	170
567	2934	165
568	2940	160
569	2945	155
570	2950	149
571	2956	144
572	2961	139
573	2966	134
574	2970	129
575	2974	123
576	2979	118
577	2983	113
578	2988	108
579	2993	103
580	2998	98
581	3003	92
582	3008	87
583	3013	82
584	3018	77
585	3023	72
586	3028	67
587	3033	61
588	3038	56
589	3043	51
590	3048	46
591	3052	41
592	3058	36
593	3063	30
594	3068	25
595	3073	20
596	3078	15
597	3083	10
598	3088	5
599	3093	0
